id,case_id,party_number,victim_role,victim_sex,victim_age,victim_degree_of_injury,victim_seating_position,victim_safety_equipment_1,victim_safety_equipment_2,victim_ejected
3204295,81305285,4,passenger,male,47,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3204296,81305285,5,driver,male,34,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3204372,81305665,2,driver,male,52,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3204373,81305665,2,passenger,male,65,complaint of pain,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3204379,81305710,1,passenger,male,26,complaint of pain,passenger seat 3,air bag not deployed,unknown,not ejected
3204398,81305788,1,driver,male,39,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3204399,81305788,2,driver,female,30,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3204400,81305788,2,passenger,female,28,complaint of pain,passenger seat 6,not required,lap/shoulder harness used,not ejected
3204401,81305788,2,passenger,female,30,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3204594,81307401,2,passenger,male,51,complaint of pain,passenger seat 6,air bag not deployed,unknown,not ejected
3204717,81309015,2,driver,male,66,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3204724,81309034,2,driver,male,34,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3204738,81309095,2,pedestrian,male,31,other visible injury,position unknown,,,not ejected
3204752,81309171,2,pedestrian,female,56,complaint of pain,position unknown,,,not ejected
3204869,81309770,2,driver,male,23,complaint of pain,driver,not required,"driver, motorcycle helmet not used",not ejected
3204887,81309863,1,driver,male,51,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3204982,81310321,2,driver,male,20,severe injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3204983,81310321,2,passenger,male,20,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3205007,81310643,2,driver,male,47,complaint of pain,driver,air bag not deployed,unknown,not ejected
3205155,81312245,1,driver,male,65,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3205156,81312245,2,passenger,male,54,other visible injury,passenger seat 6,air bag deployed,lap/shoulder harness used,not ejected
3205157,81312245,2,driver,female,51,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3205179,81312303,2,driver,female,48,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205181,81312311,2,pedestrian,male,77,other visible injury,position unknown,,,not ejected
3205294,81312909,1,driver,male,47,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205295,81312909,2,driver,female,25,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205585,81314252,2,driver,male,29,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205598,81314310,2,passenger,female,36,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3205631,81314415,2,pedestrian,male,63,other visible injury,position unknown,,,
3205637,81314435,1,passenger,male,18,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3205638,81314435,2,driver,male,38,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3205673,81314674,1,driver,female,43,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205682,81314702,2,passenger,male,29,other visible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3205683,81314702,2,driver,female,24,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205684,81314702,2,passenger,female,6,complaint of pain,passenger seat 4,air bag not deployed,child restraint in vehicle used,not ejected
3205685,81314702,2,passenger,female,9,complaint of pain,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3205690,81314771,2,pedestrian,female,44,complaint of pain,position unknown,,,
3205698,81314824,2,driver,male,28,complaint of pain,driver,air bag not deployed,lap/shoulder harness not used,not ejected
3205711,81314896,1,driver,female,32,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3205717,81314930,2,driver,male,61,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205718,81314930,2,passenger,male,0,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3205721,81314977,2,pedestrian,female,73,other visible injury,position unknown,,,not ejected
3205745,81315140,2,bicyclist,male,16,other visible injury,position unknown,,"driver, motorcycle helmet not used",not ejected
3205747,81315157,2,pedestrian,female,74,complaint of pain,position unknown,,,
3205750,81315191,2,bicyclist,male,23,complaint of pain,position unknown,,"driver, motorcycle helmet not used",fully ejected
3205751,81315200,1,driver,male,33,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3205840,81315905,2,driver,male,31,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3205878,81316231,2,driver,female,28,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205880,81316240,2,pedestrian,female,0,complaint of pain,position unknown,,,unknown
3205881,81316278,1,driver,female,28,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3205882,81316278,2,driver,female,71,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3205883,81316278,3,pedestrian,female,62,complaint of pain,position unknown,,,not ejected
3206071,81317632,2,pedestrian,male,56,complaint of pain,position unknown,,,
3206095,81317786,1,driver,male,49,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3206336,81319452,2,pedestrian,male,67,complaint of pain,position unknown,,,not ejected
3206436,81320070,1,driver,female,48,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3206437,81320070,2,driver,male,40,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3206761,81322814,1,driver,male,47,severe injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3206762,81322814,2,driver,female,28,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3207246,81326169,1,driver,male,26,severe injury,driver,not required,"driver, motorcycle helmet used",fully ejected
3207268,81326391,2,bicyclist,female,31,complaint of pain,position unknown,,,not ejected
3207282,81326524,2,passenger,female,,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3207283,81326524,2,driver,male,72,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3207287,81326537,1,driver,female,46,suspected minor injury,driver,air bag deployed,,not ejected
3207293,81326554,1,passenger,female,20,possible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3207302,81326565,2,passenger,female,60,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3207308,81326573,2,driver,male,50,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3207309,81326573,2,passenger,female,39,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3207310,81326573,2,passenger,male,7,possible injury,station wagon rear,not required,child restraint in vehicle used,not ejected
3207325,81326615,1,driver,male,19,suspected minor injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3207326,81326615,2,passenger,female,18,suspected minor injury,passenger seat 3,air bag deployed,,not ejected
3207336,81326641,2,driver,female,36,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3207337,81326641,2,passenger,female,36,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3207338,81326641,2,passenger,female,13,possible injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
3207339,81326641,2,passenger,male,8,possible injury,passenger seat 5,air bag not deployed,lap/shoulder harness used,not ejected
3207340,81326641,2,passenger,female,8,possible injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3207341,81326641,2,passenger,female,8,possible injury,station wagon rear,air bag not deployed,lap/shoulder harness used,not ejected
3207342,81326641,2,passenger,female,6,possible injury,station wagon rear,air bag not deployed,lap/shoulder harness used,not ejected
3207395,81326702,1,passenger,female,13,possible injury,passenger seat 6,air bag deployed,lap/shoulder harness used,not ejected
3207396,81326702,1,passenger,female,16,suspected minor injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3207397,81326702,1,driver,male,34,suspected minor injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3207453,81326826,1,driver,male,23,suspected minor injury,driver,not required,"driver, motorcycle helmet used",fully ejected
3207455,81326831,2,bicyclist,male,20,possible injury,position unknown,,,fully ejected
3207467,81326843,1,driver,male,54,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3207468,81326849,2,driver,male,19,suspected serious injury,driver,not required,"driver, motorcycle helmet not used",fully ejected
3207472,81326850,2,passenger,female,56,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3207479,81326864,1,driver,female,83,suspected minor injury,driver,air bag deployed,,not ejected
3208060,81329122,1,driver,male,20,possible injury,driver,air bag deployed,,not ejected
3208317,81330785,2,pedestrian,male,42,other visible injury,position unknown,,,
3208321,81330810,2,pedestrian,female,46,other visible injury,position unknown,,,
3208344,81331049,1,driver,male,54,other visible injury,driver,not required,"driver, motorcycle helmet used",fully ejected
3208365,81331273,1,driver,female,31,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3208366,81331273,2,driver,female,22,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3208748,81333284,1,driver,female,20,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3208749,81333284,2,driver,female,33,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3208758,81333417,2,driver,female,55,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3208819,81333767,1,driver,male,27,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3208826,81333801,1,driver,female,42,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3208827,81333801,2,driver,female,49,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3208828,81333801,2,passenger,female,60,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3209318,81337031,2,driver,male,47,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3209329,81337063,2,driver,male,49,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3209330,81337063,3,driver,female,64,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3209331,81337063,3,passenger,male,75,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3209345,81337145,1,passenger,female,37,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3209346,81337145,5,driver,female,40,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3209347,81337145,5,passenger,female,40,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3209493,81337973,2,driver,male,59,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3209494,81337973,3,pedestrian,male,61,complaint of pain,position unknown,,,not ejected
3209495,81337973,4,pedestrian,female,58,complaint of pain,position unknown,,,not ejected
3209896,81341173,2,pedestrian,female,30,other visible injury,position unknown,,,not ejected
3209927,81341401,1,driver,male,27,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3209928,81341401,2,driver,male,30,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3209929,81341402,2,bicyclist,male,25,other visible injury,position unknown,,"driver, motorcycle helmet not used",fully ejected
3209937,81341411,2,pedestrian,female,83,severe injury,position unknown,,,not ejected
3209942,81341415,2,pedestrian,female,18,complaint of pain,position unknown,,,
3210092,81342370,3,driver,female,22,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3210121,81342551,1,driver,male,25,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3210158,81342872,2,passenger,female,50,complaint of pain,passenger seat 3,air bag not deployed,unknown,not ejected
3210257,81343672,1,driver,male,48,severe injury,driver,not required,"driver, motorcycle helmet used",partially ejected
3210261,81343702,2,pedestrian,female,33,killed,position unknown,,,not ejected
3210491,81345818,1,driver,male,23,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3210492,81345818,2,driver,male,18,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3210583,81346239,2,bicyclist,male,56,complaint of pain,position unknown,,"driver, motorcycle helmet used",fully ejected
3210598,81346314,2,driver,female,50,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3211252,81350560,1,driver,male,21,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3211253,81350560,2,driver,female,31,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3211256,81350624,1,driver,male,29,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3211257,81350624,2,driver,male,64,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3211258,81350624,2,passenger,female,68,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3211379,81351519,3,pedestrian,male,55,other visible injury,position unknown,,,not ejected
3211721,81352308,2,bicyclist,male,37,other visible injury,position unknown,,"driver, motorcycle helmet used",fully ejected
3211764,81352589,1,driver,male,75,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3212119,81354472,2,bicyclist,male,31,other visible injury,position unknown,,"driver, motorcycle helmet used",not ejected
3212125,81354502,2,bicyclist,male,36,complaint of pain,position unknown,,,fully ejected
3212129,81354507,1,driver,male,28,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3212130,81354507,2,driver,female,28,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3212132,81354519,2,passenger,male,12,complaint of pain,passenger seat 6,air bag deployed,lap/shoulder harness used,not ejected
3212338,81356384,1,driver,male,41,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3212639,81357901,1,driver,male,38,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3212640,81357901,1,passenger,male,30,complaint of pain,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3212641,81357901,2,driver,male,21,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3212721,81358590,2,pedestrian,female,81,severe injury,position unknown,,,
3212746,81358800,1,driver,female,24,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3212747,81358811,1,driver,male,25,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3212921,81360138,1,driver,male,67,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3212929,81360164,1,driver,male,29,other visible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213141,81361703,1,passenger,female,24,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3213142,81361703,2,driver,male,77,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213551,81362821,4,passenger,female,66,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3213555,81362828,2,passenger,female,33,possible injury,position unknown,air bag not deployed,lap/shoulder harness used,not ejected
3213556,81362828,2,passenger,female,19,possible injury,position unknown,air bag not deployed,lap/shoulder harness used,not ejected
3213559,81362830,1,driver,female,67,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213560,81362830,2,driver,female,21,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3213561,81362830,3,driver,female,39,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3213562,81362830,3,passenger,male,10,possible injury,passenger seat 4,not required,lap/shoulder harness used,not ejected
3213582,81362854,1,driver,female,30,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3213583,81362854,2,driver,male,51,possible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3213584,81362855,1,bicyclist,male,42,possible injury,driver,,lap/shoulder harness used,not ejected
3213592,81362861,2,driver,female,28,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213600,81362867,1,passenger,female,2,possible injury,passenger seat 6,air bag not deployed,"child restraint in vehicle, use unknown",not ejected
3213601,81362868,2,pedestrian,male,51,suspected minor injury,position unknown,,not required,
3213622,81362904,2,driver,male,30,severe injury,driver,not required,none in vehicle,fully ejected
3213818,81363695,2,pedestrian,male,51,other visible injury,position unknown,,,
3213822,81363735,2,driver,female,47,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213823,81363735,3,driver,male,34,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3213824,81363735,3,passenger,female,34,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3213949,81364275,2,bicyclist,male,48,other visible injury,position unknown,,"driver, motorcycle helmet used",fully ejected
3214252,81366116,2,driver,male,47,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214253,81366116,2,passenger,male,25,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3214271,81366195,2,driver,male,28,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214272,81366195,3,driver,female,26,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214273,81366195,3,passenger,male,28,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3214527,81367300,1,driver,male,28,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3214537,81367457,2,bicyclist,female,69,other visible injury,position unknown,,"driver, motorcycle helmet used",fully ejected
3214538,81367467,1,driver,female,33,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214539,81367467,1,passenger,female,13,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3214541,81367477,1,driver,female,19,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3214542,81367477,2,driver,female,78,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3214550,81367620,2,pedestrian,female,51,other visible injury,position unknown,,,
3214558,81367752,2,driver,male,49,complaint of pain,driver,not required,"driver, motorcycle helmet used",not ejected
3214633,81368135,2,driver,male,29,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214759,81369026,2,driver,female,25,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3214760,81369026,2,passenger,female,25,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3215108,81371742,1,driver,male,54,severe injury,driver,not required,"driver, motorcycle helmet used",unknown
3215116,81371912,2,driver,male,39,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215148,81372321,1,driver,female,75,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215149,81372321,2,driver,female,40,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215229,81372873,2,pedestrian,female,46,other visible injury,position unknown,,,not ejected
3215255,81372966,1,driver,male,26,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3215256,81372966,2,passenger,male,17,other visible injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3215436,81373593,1,passenger,male,27,suspected minor injury,passenger seat 3,air bag deployed,lap/shoulder harness used,not ejected
3215437,81373593,2,passenger,female,19,possible injury,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3215438,81373593,2,passenger,female,23,possible injury,passenger seat 6,air bag not deployed,lap/shoulder harness used,not ejected
3215443,81373598,1,driver,male,40,possible injury,driver,not required,"driver, motorcycle helmet used",fully ejected
3215444,81373599,2,driver,male,35,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215503,81373942,2,bicyclist,male,13,other visible injury,position unknown,,"driver, motorcycle helmet not used",fully ejected
3215631,81374475,1,driver,male,21,possible injury,driver,air bag not deployed,not required,not ejected
3215636,81374483,3,driver,female,54,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215637,81374483,4,driver,male,35,possible injury,driver,air bag not deployed,lap/shoulder harness used,not ejected
3215829,81375211,2,driver,female,37,complaint of pain,driver,air bag deployed,lap/shoulder harness used,not ejected
3215830,81375211,2,passenger,male,31,complaint of pain,passenger seat 3,air bag not deployed,lap/shoulder harness used,not ejected
3215831,81375211,2,passenger,female,21,complaint of pain,passenger seat 5,air bag deployed,lap/shoulder harness used,not ejected
3215832,81375211,2,passenger,female,14,complaint of pain,passenger seat 6,air bag deployed,lap/shoulder harness used,not ejected
3215833,81375211,2,passenger,male,20,complaint of pain,passenger seat 4,air bag deployed,lap/shoulder harness used,not ejected
3216937,81380897,1,driver,male,26,complaint of pain,driver,air bag deployed,lap/shoulder harness not used,not ejected
3216938,81380897,2,driver,male,25,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
3216959,81381026,2,driver,male,56,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3218259,81386169,2,driver,female,79,complaint of pain,driver,air bag not deployed,lap/shoulder harness used,not ejected
3218263,81386176,1,passenger,male,18,other visible injury,passenger seat 4,air bag not deployed,lap/shoulder harness used,not ejected
3218283,81386282,1,driver,female,56,other visible injury,driver,air bag deployed,lap/shoulder harness used,not ejected
